"MODEL           ","                "
"MAQUINA         ","MC#01   "
"INFORME         ","PLU         "
"FICHERO         ","FILE004"
"MODO            ","X   "
"CONTADOR ZETAS  ","0000"
"FECHA           ","2018-12-07"
"HORA            ","17:00"

"REGISTRO        ","DESCRIPTOR      ","CANTIDAD        ","IMPORTE         "
"0249","CU PSMX100  ","0","0"
"0250","TEN PSMX20  ","0","0"
"0251","C/LLOPSMX20 ","0","0"
"0252","CU PSMX20   ","0","0"
"0253","TE RUMBAX10 ","0","0"
"0254","C/RA RUMBX10","0","0"
"0255","C/LLORUMBX10","0","0"
"0256","PLATO12CX20 ","0","0"
"0257","TARRO PEQUE ","0","0"
"0258","TARRO GRANDE","0","0"
"0259","DOMCIRC33X12","0","0"
"0260","DOMALTV28X12","1","2,200"
"0261","BAS34X145X12","0","0"
"0262","B.RE21X16X12","0","0"
"0263","D.No6 B.No17","0","0"
"0264","D.No6 B.25  ","0","0"
"0265","DBL USO TAPA","13","3,900"
"0266","BAREC20.5X12","0","0"
"0267","D.No3C B.No1","0","0"
"0268","T WISE      ","0","0"
"0269","CORA ZONE P ","0","0"
"0270","CORAZONE GDS","0","0"
"0271","BA CIRBU17X6","0","0"
"0272","DNo6 BAU.No3","0","0"
"0273","D PLAT 12OZ ","0","0"
"0274","CON ALT 24OZ","0","0"
"0275","DOM PLAT23OZ","0","0"
"0276","DOM PLA3DIV ","0","0"
"0277","FLIPACK PEQ ","0","0"
"0278","FLIPACK GDE ","0","0"
"0279","DOMCIR25.5X5","0","0"
"0280","DOM PLAT15.5","0","0"
"0281","CONTEN PARIS","0","0"
"0282","ENSA FRUTX25","0","0"
"0283","BANANERASX15","0","0"
"0284","SOBRE COPA  ","0","0"
"0285","VS 30OZRMX12","0","0"
"0286","CP VIN RMX8 ","0","0"
"0287","COPAPREMIX12","0","0"
"0288","COPA VINX20 ","0","0"
"0289","TOALLA NATUR","0","0"
"0290","TOALLA B/CO ","0","0"
"0291","WPALL X 70  ","0","0"
"0292","WPALL X80   ","0","0"
"0293","FAVORITA 320","10","22,000"
"0294","TISSY X100  ","0","0"
"0295","FAM DECX100 ","1","3,500"
"0296","CAFETE X100 ","0","0"
"0297","1 A 1 X100  ","0","0"
"0298","SUAVEGOLDX40","0","0"
"0299","SUAVEGOLX200","0","0"
"0300","FAMILIAX450 ","1","3,400"
"0301","TOALL COLTI ","0","0"
"0302","MULTIUSOSX2 ","0","0"
"0303","PRACTIDIAX2 ","0","0"
"0304","ACOLCHAMASX1","0","0"
"0305","PINCHO15X100","0","0"
"0306","PINCHO20X100","0","0"
"0307","PINCHO25X100","0","0"
"0308","PIN/ZO25X100","0","0"
"0309","PIN/ZO30X100","0","0"
"0310","PALILLO PAND","3","1,800"
"0311","PALILLO BB  ","0","0"
"0312","PALILLO COCT","0","0"
"0313","FOSFOROX2   ","0","0"
"0314","PALOPALEX100","0","0"
"0315","LASA¥A 6 OZ ","0","0"
"0316","MOLDE 24OZ  ","0","0"
"0317","MOLDE 28 OZ ","0","0"
"0318","JUNIOR      ","0","0"
"0319","LECHE ASADA ","0","0"
"0320","MUFFIS P    ","0","0"
"0321","MUFF CON TAP","0","0"
"0322","MOLDE MUFFIS","0","0"
"0323","MEZCLA CAJA ","0","0"
"0324","CA PITI 73/4","0","0"
